MW,LogP,TPSA,HBA,HBD,Rotatable_Bonds,Ring_Count,Aromatic_Rings,Fraction_CSP3,Heavy_Atom_Count,Chiral_Atoms,Formal_Charge,QED,BertzCT,HallKierAlpha,Kappa1,Kappa2,Kappa3,NumSpiroAtoms,NumBridgeheadAtoms,NumAliphaticRings,NumSaturatedRings,NumHeteroAtoms,MolMR,SA_Score,Lipinski_Pass,Veber_Pass,Egan_Pass,Ghose_Pass,Muegge_Pass,RECRUITER_CODE,SMILES,PAINS_Hits,Brenk_Hits
249.26999999999998,0.4877999999999996,95.08000000000001,3,3,5,2,1,0.4166666666666667,18,1,0,0.6616195457883953,445.14250913689125,-2.11,12.34963134845644,5.482865645542789,2.96695563205396,0,0,1,0,6,63.722200000000015,,True,True,True,False,True,L00002,c1c(nc[nH]1)C[C@@H](C(=O)O)NC(=O)C2CC=CC2,None,isolated_alkene
249.26999999999998,0.4877999999999996,95.08000000000001,3,3,5,2,1,0.4166666666666667,18,1,0,0.6616195457883953,445.14250913689125,-2.11,12.34963134845644,5.482865645542789,2.96695563205396,0,0,1,0,6,63.722200000000015,,True,True,True,False,True,L00538,c1c(nc[nH]1)C[C@@H](C(=O)O)NC(=O)C2CC=CC2,None,isolated_alkene
249.26999999999998,0.4877999999999996,95.08000000000001,3,3,5,2,1,0.4166666666666667,18,1,0,0.6616195457883953,445.14250913689125,-2.11,12.34963134845644,5.482865645542789,2.96695563205396,0,0,1,0,6,63.722200000000015,,True,True,True,False,True,L00539,c1c(nc[nH]1)C[C@@H](C(=O)O)NC(=O)C2CC=CC2,None,isolated_alkene
249.26999999999998,0.4877999999999996,95.08000000000001,3,3,5,2,1,0.4166666666666667,18,1,0,0.6616195457883953,445.14250913689125,-2.11,12.34963134845644,5.482865645542789,2.96695563205396,0,0,1,0,6,63.722200000000015,,True,True,True,False,True,L00540,c1c(nc[nH]1)C[C@@H](C(=O)O)NC(=O)C2CC=CC2,None,isolated_alkene
414.49200000000025,-0.8961999999999946,114.30000000000003,10,2,25,0,0,1.0,28,0,0,0.18225983831941764,244.75087218611446,-0.39999999999999997,27.6,26.599999999999998,25.6,0,0,0,0,10,100.72360000000008,,True,False,True,False,True,L00753,C(COCCOCCOCCOCCOCCOCCOCCOCCO)O,None,Aliphatic_long_chain
251.26599999999996,0.5701699999999996,122.85999999999999,5,3,7,1,1,0.36363636363636365,18,1,1,0.37207882036921613,440.10647659111146,-2.24,13.823451776649746,7.157302037404319,4.731534385813149,0,0,0,0,7,63.400900000000014,,True,True,True,False,True,L00759,c1cc(ccc1C[C@@H](C(=O)O)N)OCCN=[N+]=N,azo_A(324),Aliphatic_long_chain; diazo_group; quaternary_nitrogen_3
157.173,-0.8472000000000002,71.17,5,2,4,1,1,0.6666666666666666,11,0,0,0.5970432183316189,211.34724188799422,-0.9400000000000002,8.159403578528828,4.046724751037516,2.284372684431081,0,0,0,0,5,37.6476,,True,True,True,False,False,L00757,c1c(nnn1CCCO)CO,None,None
414.49200000000025,-0.8961999999999946,114.30000000000003,10,2,25,0,0,1.0,28,0,0,0.18225983831941764,244.75087218611446,-0.39999999999999997,27.6,26.599999999999998,25.6,0,0,0,0,10,100.72360000000008,,True,False,True,False,True,L00754,C(COCCOCCOCCOCCOCCOCCOCCOCCO)O,None,Aliphatic_long_chain
258.23299999999995,0.08779999999999993,83.55000000000001,4,1,1,3,1,0.23076923076923078,19,1,0,0.7233587999857974,587.8241612955018,-2.5,11.58254200146092,4.012157586949831,1.6402235447815359,0,0,2,1,6,63.113700000000016,,True,True,True,False,True,L00003,c1ccc2c(c1)C(=O)N(C2=O)[C@H]3CCC(=O)NC3=O,None,phthalimide
258.23299999999995,0.08779999999999993,83.55000000000001,4,1,1,3,1,0.23076923076923078,19,1,0,0.7233587999857974,587.8241612955018,-2.5,11.58254200146092,4.012157586949831,1.6402235447815359,0,0,2,1,6,63.113700000000016,,True,True,True,False,True,L00564,c1ccc2c(c1)C(=O)N(C2=O)[C@H]3CCC(=O)NC3=O,None,phthalimide
